Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
179	Racers / Drome Racers	4583-1	Maverick Storm	2002	2	14.3 x 9.4 x 4.3
36	Technic / Star Wars / Star Wars Episode 2	8012-1	Super Battle Droid	2002	137	23.8 x 33.4 x 4.7
449	Island Xtreme Stunts	6735-1	Air Chase	2002	23	19 x 14.3 x 4.7
36	Technic / RoboRiders	1290-1	Lava Buggy	2000	?	? x ? x ?
449	Island Xtreme Stunts	6734-1	Beach Cruiser	2002	9	14.3 x 14.3 x 4.7
395	Samsonite / Model Maker / Airport	346-1	Jumbo Jet	1970	?	? x ? x ?
388	Building Set with People / Airport	250-3	Aeroplane and Pilot	1974	6.6	20 x 10 x 5
174	Studios	1380-1	Werewolf Ambush	2002	29	19 x 14 x 4.5
473	Sports / Soccer	3425-1	Grand Championship Cup - U.S. Men's Team Cup Edition	2002	?	47.9 x 38.1 x 9.5
170	Alpha Team / Mission Deep Sea	4791-1	Alpha Team Sub-Surface Scooter	2002	16	14.3 x 14.3 x 4.5
65	Star Wars / Star Wars Episode 2	7113-1	Tusken Raider Encounter	2002	23	19.5 x 14.5 x 4.6
65	Star Wars / Star Wars Episode 2	7133-1	Bounty Hunter Pursuit	2002	60	28.8 x 28.7 x 4.6
36	Technic / Star Wars / Star Wars Episode 2	8011-1	Jango Fett	2002	162	23.8 x 28.6 x 5.9
277	Legoland / Fire	693-1	Fire Engine with Firemen	1975	3.4	20 x 6.5 x 4
473	Sports / Soccer	3419-1	Precision Shooting	2001	5	14 x 14 x 3.5
449	Island Xtreme Stunts	6739-1	Truck and Stunt Trikes	2002	50	28.7 x 28.5 x 5.8
395	Samsonite / Model Maker / Construction	349-2	Mini-Wheel Construction Set	1971	?	30 x 30 x 6
179	Racers / Drome Racers	4585-1	Nitro Pulverizer	2002	19	23.8 x 14.2 x 5.8
473	Sports / Soccer	3418-1	Point Shooting	2001	5	14 x 14 x 3.5
449	Island Xtreme Stunts	6737-1	Wake Rider (Wave Catcher)	2002	31	19 x 19 x 5.8
388	Building Set with People / Fire	340-2	Fire Trucks	1978	?	? x ? x ?
179	Racers / Drome Racers	4593-1	Zero Hurricane & Red Blizzard	2002	10.74	19 x 14.4 x 4.6
273	Bionicle / Titans	8558-1	Cahdok & Gahdok	2002	468	38 x 28.5 x 6
69	Western / Cowboys	6762-1	Fort Legoredo	2002	98	48 x 38.2 x 9.2
423	Classic / Building	341-1	Warehouse	1968	5	? x ? x ?
388	Building Set with People / Farm	190-1	Farm Set	1975	6.7	57.5 x 33.5 x 6.3
388	Building Set with People / Traffic	196-1	Antique Car	1975	6.9	30 x 15 x 5
388	Building Set with People / Recreation	208-1	Mother with Baby Carriage	1978	3.4	10 x 10 x 4.2
174	Studios	1381-1	Vampire's Crypt	2002	53.6	28.5 x 19 x 7
