,SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Owned,Wanted,QtyOwned,Rating
14469,29184,71024,17,Collectable Minifigures,Disney Series 2,2019,Edna Mode,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-15.jpg,2404,478,No,No,0.0,
14470,29185,71024,18,Collectable Minifigures,Disney Series 2,2019,Frozone,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-16.jpg,2596,450,No,No,0.0,
14471,29189,71024,20,Collectable Minifigures,Disney series 2,2019,LEGO Minifigures - The Disney Series 2 - Sealed Box,,,2.99,3.99,4.99,3.99,https://images.brickset.com/sets/images/71024-20.jpg,169,104,No,No,0.0,
14472,29506,71025,1,Collectable Minifigures,Series 19,2019,Video Game Champ,,7.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-1.jpg,827,697,No,No,0.0,
14473,29508,71025,2,Collectable Minifigures,Series 19,2019,Shower Guy,,8.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-2.jpg,730,665,No,No,0.0,
14474,29510,71025,3,Collectable Minifigures,Series 19,2019,Fright Knight,,9.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-3.jpg,717,639,No,No,0.0,
14475,29507,71025,4,Collectable Minifigures,Series 19,2019,Monkey King,,12.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-4.jpg,670,584,No,No,0.0,
14476,29509,71025,5,Collectable Minifigures,Series 19,2019,Programmer,,9.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-5.jpg,710,583,No,No,0.0,
14477,29512,71025,6,Collectable Minifigures,Series 19,2019,Mummy Queen,,6.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-6.jpg,732,519,No,No,0.0,
14478,29514,71025,7,Collectable Minifigures,Series 19,2019,Jungle Explorer,,8.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-7.jpg,890,853,No,No,0.0,
14479,29513,71025,8,Collectable Minifigures,Series 19,2019,Fire Fighter,,6.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-8.jpg,567,437,No,No,0.0,
14480,29502,71025,9,Collectable Minifigures,Series 19,2019,Dog Sitter,,9.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-9.jpg,810,793,No,No,0.0,
14481,29516,71025,10,Collectable Minifigures,Series 19,2019,Pizza Costume Guy,,6.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-10.jpg,817,672,No,No,0.0,
14482,29518,71025,11,Collectable Minifigures,Series 19,2019,Galactic Bounty Hunter,,8.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-11.jpg,836,747,No,No,0.0,
14483,29515,71025,12,Collectable Minifigures,Series 19,2019,Gardener,,7.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-12.jpg,742,677,No,No,0.0,
14484,29519,71025,13,Collectable Minifigures,Series 19,2019,Rugby Player,,6.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-13.jpg,593,482,No,No,0.0,
14485,29504,71025,14,Collectable Minifigures,Series 19,2019,Fox Costume Girl,,8.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-14.jpg,751,721,No,No,0.0,
14486,29517,71025,15,Collectable Minifigures,Series 19,2019,Bear Costume Guy,,7.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-15.jpg,698,519,No,No,0.0,
14487,29511,71025,16,Collectable Minifigures,Series 19,2019,Mountain Biker,,10.0,2.99,3.99,,,https://images.brickset.com/sets/images/71025-16.jpg,725,543,No,No,0.0,
14488,29520,71025,17,Collectable Minifigures,Series 19,2019,LEGO Minifigures - Series 19 - Complete,,,2.99,3.99,4.99,3.99,https://images.brickset.com/sets/images/71025-17.jpg,316,349,No,No,0.0,
14489,29107,5005738,1,The Lego Movie 2: The Second Part,,2019,Sticker roll,,,3.99,3.99,3.99,3.99,https://images.brickset.com/sets/images/5005738-1.jpg,156,136,No,No,0.0,
14490,29570,11920,1,Star Wars,,2019,Parts for Star Wars: Build Your Own Adventure Galactic Missions,1.0,66.0,,,,,20,111,No,No,0,,
14491,28953,30327,1,Duplo,,2019,My First Duck,,6.0,,,,,https://images.brickset.com/sets/images/30327-1.jpg,180,37,No,No,0.0,
14492,28954,30328,0,Duplo,,2019,Town Rescue - {Random Bag},,,,,,,https://images.brickset.com/sets/images/30328-0.jpg,28,31,No,No,0.0,
14493,28979,30328,2,Duplo,,2019,Town Rescue - Bird,,,,,,,https://images.brickset.com/sets/images/30328-2.jpg,36,23,No,No,0.0,
14494,28980,30328,3,Duplo,,2019,Town Rescue - Fireman,,,,,,,https://images.brickset.com/sets/images/30328-3.jpg,29,23,No,No,0.0,
14495,28981,30328,4,Duplo,,2019,Town Rescue - Cat,,,,,,,https://images.brickset.com/sets/images/30328-4.jpg,28,23,No,No,0.0,
14496,28982,30328,5,Duplo,,2019,Town Rescue - Policewoman,,,,,,,https://images.brickset.com/sets/images/30328-5.jpg,25,20,No,No,0.0,
14497,28977,30328,6,Duplo,,2019,Town Rescue - Dog,,,,,,,https://images.brickset.com/sets/images/30328-1.jpg,28,23,No,No,0.0,
14498,28597,30340,1,The Lego Movie 2: The Second Part,,2019,Emmet's 'Piece' Offering,1.0,44.0,,,,,https://images.brickset.com/sets/images/30340-1.jpg,3033,487,No,No,0.0,
14499,28596,30361,1,City,Fire,2019,Fire ATV,1.0,39.0,,,,,https://images.brickset.com/sets/images/30361-1.jpg,2269,299,No,No,0.0,
