Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
166	Educational & Dacta / Supplemental	9001-2	Medium Blue Storage Bin (16.5in x 12in x 6in)	2007	?	42 x 31 x 16
423	Classic / Wooden Box Set	700-13	Wooden Storage Box with Contents	1958	?	47.6 x 38.1 x 7
423	Classic / Wooden Box Set	824-1	Wooden Storage Box Large (Double Latch), Empty, without Lattice	1966	?	? x ? x ?
395	Samsonite / Basic Set	610-4	Super Wheel Toy Set (tall box version)	1965	?	? x ? x ?
65	Star Wars / Star Wars Expanded Universe	7664-1	TIE Crawler	2007	221.7	47.8 x 6 x 29
65	Star Wars / Star Wars Episode 4/5/6	7666-1	Hoth Rebel Base (Limited Edition - with K-3PO)	2007	222	47.7 x 28.5 x 7
65	Star Wars / Star Wars Episode 1	7665-1	Republic Cruiser (Limited Edition - with R2-R7)	2007	326	57 x 38 x 7
171	Creator / Basic Set	6164-1	Rescue Building Set	2007	182	38.2 x 28.6 x 6.9
34	Space / Mars Mission	7699-1	MT-101 Armored Drilling Unit	2007	544	57 x 38 x 7
422	Universal Building Set / Supplemental	990-2	Trees and Signs (1969 version with old style trees)	1969	23	20.2 x 10.1 x 2.7
423	Classic / Town Plan	1200-2	Town Plan Board, Small Plastic	1956	?	? x ? x ?
423	Classic / Town Plan	200M-1	Town Plan Wooden Board	1957	?	? x ? x ?
390	Holiday & Event / Advent / City	7907-1	Advent Calendar 2007, City	2007	233	38 x 28.5 x 7
390	Holiday & Event / Advent / Belville	7600-1	Advent Calendar 2007, Belville	2007	234.1	38.1 x 28.4 x 7
171	Creator / Basic Set	5528-1	Canister with 700 pcs	2007	?	22.5 x 22.5 x 27.7
167	Duplo / Basic Set	5419-1	Build a Farm	2007	?	? x ? x ?
423	Classic / Basic Set	080-1	Basic Building Set with Train	1967	?	50 x 30 x 11
486	Designer Sets / Robot	7221-2	Robots - ANA Promotion	2003	?	? x ? x ?
9	Castle / Knights Kingdom II	65579-1	Knights' Kingdom Value Pack 8770 and 8771 with Foam Helmet	2004	?	? x ? x ?
422	Universal Building Set / Basic	1512-2	Basic Set with Storage Case	1985	?	? x ? x ?
36	Technic / Model / Construction	8275-1	Motorized Bulldozer	2007	862	65.2 x 48 x 9.6
36	Technic / Model / Traffic	8273-1	Off Road Truck	2007	?	38.4 x 38.4 x 7.2
171	Creator / Model / Building	4954-1	Model Town House	2007	379	57.3 x 38 x 9.5
171	Creator / Model / Recreation	4957-1	Ferris Wheel	2007	541	57.4 x 38 x 7.2
171	Creator / Model / Creature	4958-1	Monster Dino	2007	348	65 x 38 x 7
167	Duplo / Duplo, Train / Thomas & Friends	3353-1	Spencer and Sir Topham Hatt	2007	?	43 x 28.5 x 7
34	Space / Classic Space	493-3	Space Command Center (Craterplate version)	1979	?	31.9 x 28.8 x 5.2
568	Exo-Force	7721-1	Combat Crawler X2	2007	?	38.1 x 38.1 x 6.67
179	Racers / Power Racers	8146-1	Nitro Muscle	2007	280	? x ? x ?
167	Duplo / Duplo, Train / Thomas & Friends	3352-1	Salty the Dockyard Diesel	2007	103	28.7 x 19.2 x 5.8
167	Duplo / Duplo, Train / Thomas & Friends	3354-1	Gordon's Express	2007	?	37.8 x 19.2 x 6.9
167	Duplo / Bob The Builder	3289-1	Muck & Roley in the Sunflower Factory	2007	?	? x ? x ?
167	Duplo / Bob The Builder	3288-1	Packer	2007	?	28.5 x 19 x 7
167	Duplo / Duplo, Town / Construction	4986-1	Digger	2007	?	28.5 x 28.5 x 11
167	Duplo / Duplo, Town / Construction	4987-1	Gravel Pit	2007	?	? x ? x ?
167	Duplo / Duplo, Town / Construction	4988-1	Construction Site	2007	?	57.5 x 38 x 9
167	Duplo / Duplo, Town / Traffic	4978-1	Road Sweeper	2007	52.4	19.2 x 19 x 9.3
167	Duplo / Duplo, Town / Police	4861-1	Police Boat	2007	?	? x ? x ?
570	Batman I	7786-1	The Batcopter: The Chase for the Scarecrow	2007	171	38 x 28.5 x 4.7
570	Batman I	7787-1	The Bat-Tank: The Riddler and Bane's Hideout	2007	203	47.7 x 28.5 x 6
67	Town / World City / Airport	4032-13	Passenger Plane - Aeroflot Version	2006	?	19 x 14 x 5
167	Duplo / Duplo, Train / Thomas & Friends	K3300-1	Island of Sodor Collection	2007	?	? x ? x ?
167	Duplo / Duplo, Train / Thomas & Friends	K3354-1	Complete Thomas Collection	2007	?	? x ? x ?
9	Castle / Fantasy Era	K7029-1	Complete Castle Collection	2007	?	? x ? x ?
273	Bionicle / Warriors	K8924-1	Titans of Mahri Nui Collection	2007	?	? x ? x ?
273	Bionicle / Toa Mahri	K8915-1	Toa Mahri Collection	2007	?	? x ? x ?
67	Town / City / Fire	K7906-1	Ultimate Firefighter Collection	2007	?	? x ? x ?
273	Bionicle / Playsets	K8927-1	Mahri Nui Deepsea Collection	2007	?	? x ? x ?
166	Educational & Dacta / Duplo / Basic Set	9950-1	{Unknown}	?	?	? x ? x ?
171	Creator / Supplemental	6116-1	Box of Bricks	2007	?	? x ? x ?
65	Star Wars / Star Wars Episode 4/5/6	10178-1	Motorized Walking AT-AT	2007	?	57 x 38 x 7
166	Educational & Dacta / Technic / Supplemental	9750-1	Interface A (LEGO Interface Box & Transformer)	1986	199	38.2 x 28.5 x 8.2
293	Baby	2522-1	Play Book Set	2000	?	14.7 x 22 x 7.8
273	Bionicle / Titans	K8761-1	The Shadowed One (LEGO Club Members Exclusive)	2005	?	? x ? x ?
